village,departement,latitude,longitude
Aiguèze,30,44.30342,4.55532
Angles-sur-l'Anglin,86,46.69547,0.88455
Ansouis,84,43.73754,5.46397
Apremont-sur-Allier,18,46.9064,3.04751
Arlempdes,43,44.86556,3.92273
Ars-en-Ré,17,46.20806,-1.51583
Autoire,46,44.85364,1.82079
Auvillar,82,44.0702,0.90044
Aïnhoa,64,43.30673,-1.49775
Balazuc,07,44.50923,4.37285
Barfleur,50,49.67068,-1.26443
Bargème,83,43.73008,6.5725
Baume-les-Messieurs,39,46.70856,5.64669
Belcastel,12,44.38851,2.33681
Bergheim,68,48.20567,7.36218
Beuvron-en-Auge,14,49.18787,-0.04603
Blesle,43,45.31896,3.16966
Bonneval-sur-Arc,73,45.37169,7.04679
Brousse-le-Château,12,43.99693,2.6245
Bruniquel,82,44.05517,1.66464
Camon,09,43.0211,1.96668
Candes-Saint-Martin,37,47.21086,0.07439
Cardaillac,46,44.67977,1.99645
Carennac,46,44.91732,1.73208
Castelnau-de-Montmiral,81,43.96552,1.8204
Castelnaud-la-Chapelle,24,44.8138,1.1512
Castelnou,66,42.61952,2.7031
Charroux,03,46.18469,3.16026
Château-Chalon,39,46.75472,5.62697
Châteauneuf,21,47.21861,4.64005
Collonges-la-Rouge,19,45.06046,1.65512
Colmars,04,44.18145,6.627
Cordes-sur-Ciel,81,44.0626,1.95799
Crissay-sur-Manse,37,47.14997,0.48419
Curemonte,19,45.0021,1.74224
Domme,24,44.80227,1.214
Eguisheim,68,48.0448,7.30796
Estaing,12,44.55374,2.6732
Eus,66,42.64435,2.45758
Flavigny-sur-Ozerain,21,47.51155,4.53051
Fourcès,32,43.99251,0.23009
Gargilesse-Dampierre,36,46.51302,1.59669
Gassin,83,43.22915,6.58548
Gerberoy,60,49.53591,1.84939
Gordes,84,43.91106,5.2002
Gourdon,06,43.71953,6.97878
Grignan,26,44.4205,4.90993
Hierges,08,50.10452,4.73911
Hunawihr,68,48.18142,7.31358
Hunspach,67,48.95338,7.94163
La Bastide-Clairence,64,43.42965,-1.25598
La Couvertoirade,12,43.9135,3.31646
La Flotte,17,46.18862,-1.32512
La Garde-Adhémar,26,44.39312,4.75354
La Grave,05,45.04545,6.30672
La Roche-Guyon,95,49.08107,1.63058
La Roque-Gageac,24,44.82554,1.1835
La Roque-sur-Cèze,30,44.19386,4.51947
Lagrasse,11,43.09044,2.62076
Larressingle,32,43.94447,0.31088
Lautrec,81,43.70742,2.13739
Lauzerte,82,44.25651,1.13832
Lavardens,32,43.76091,0.51257
Lavardin,41,47.7417,0.88506
Lavaudieu,43,45.26232,3.45318
Le Bec-Hellouin,27,49.23124,0.72102
Le Crozet,42,46.1706,3.85541
Le Poët-Laval,26,44.53682,5.01456
Les Baux-de-Provence,13,43.74364,4.79512
Locronan,29,48.09849,-4.2077
Lods,25,47.04552,6.24783
Lourmarin,84,43.76382,5.36223
Lussan,30,44.15337,4.36529
Lyons-la-Forêt,27,49.399,1.47682
Minerve,34,43.35396,2.74628
Mittelbergheim,67,48.39667,7.4425
Moncontour,22,48.35942,-2.63369
Monflanquin,47,44.5316,0.76996
Montpeyroux,63,45.62254,3.2045
Montrésor,37,47.15666,1.20165
Montsoreau,49,47.216,0.0572
Mornac-sur-Seudre,17,45.70909,-1.02885
Mortemart,87,46.04156,0.95626
Moustiers-Sainte-Marie,04,43.84601,6.22176
Navarrenx,64,43.32215,-0.76104
Noyers,89,47.69571,3.99555
Olargues,34,43.55701,2.91374
Parfondeval,02,49.73938,4.15862
Pesmes,70,47.2796,5.56743
Piana,2A,42.23887,8.63706
Pujols,47,44.38631,0.69027
Pérouges,01,45.90343,5.17946
Rochefort-en-Terre,56,47.69906,-2.33726
Rodemack,57,49.46923,6.23663
Saint-Benoît-du-Sault,36,46.44017,1.39104
Saint-Bertrand-de-Comminges,31,43.02693,0.57091
Saint-Céneri-le-Gérei,61,48.37974,-0.05262
Saint-Floret,63,45.55157,3.10487
Saint-Guilhem-le-Désert,34,43.734,3.54852
Saint-Quirin,57,48.6094,7.06572
Saint-Robert,19,45.25494,1.29357
Saint-Suliac,35,48.56996,-1.97338
Saint-Véran,05,44.69934,6.86871
Sainte-Agnès,06,43.80049,7.46204
Sainte-Croix-en-Jarez,42,45.47909,4.64694
Sainte-Suzanne,53,48.09751,-0.35261
Salers,15,45.13859,2.49434
Sant'Antonino,2B,42.5889,8.90499
Seillans,83,43.63641,6.64458
Semur-en-Brionnais,71,46.26328,4.08989
Ségur-le-Château,19,45.42896,1.30511
Talmont-sur-Gironde,17,45.53504,-0.90726
Tournemire,15,45.05448,2.48128
Usson,63,45.52737,3.3377
Veules-les-Roses,76,49.8722,0.79907
Villefranche-de-Conflent,66,42.58731,2.36732
Vogüé,07,44.54973,4.41565
Vouvant,85,46.57209,-0.76989
Vézelay,89,47.46516,3.74706
Yvoire,74,46.36938,6.32681
