date,saison,ventes
2022-06-01,2022,189
2022-06-02,2022,203
2022-06-03,2022,208
2022-06-04,2022,198
2022-06-05,2022,207
2022-06-06,2022,196
2022-06-07,2022,184
2022-06-08,2022,195
2022-06-09,2022,198
2022-06-10,2022,190
2022-06-11,2022,181
2022-06-12,2022,170
2022-06-13,2022,165
2022-06-14,2022,176
2022-06-15,2022,191
2022-06-16,2022,211
2022-06-17,2022,217
2022-06-18,2022,202
2022-06-19,2022,205
2022-06-20,2022,215
2022-06-21,2022,226
2022-06-22,2022,229
2022-06-23,2022,227
2022-06-24,2022,228
2022-06-25,2022,232
2022-06-26,2022,213
2022-06-27,2022,195
2022-06-28,2022,195
2022-06-29,2022,222
2022-06-30,2022,229
2022-07-01,2022,224
2022-07-02,2022,217
2022-07-03,2022,177
2022-07-04,2022,178
2022-07-05,2022,206
2022-07-06,2022,227
2022-07-07,2022,209
2022-07-08,2022,194
2022-07-09,2022,199
2022-07-10,2022,176
2022-07-11,2022,171
2022-07-12,2022,173
2022-07-13,2022,180
2022-07-14,2022,164
2022-07-15,2022,142
2022-07-16,2022,138
2022-07-17,2022,124
2022-07-18,2022,129
2022-07-19,2022,168
2022-07-20,2022,189
2022-07-21,2022,199
2022-07-22,2022,225
2022-07-23,2022,239
2022-07-24,2022,225
2022-07-25,2022,183
2022-07-26,2022,171
2022-07-27,2022,176
2022-07-28,2022,171
2022-07-29,2022,183
2022-07-30,2022,202
2022-07-31,2022,182
2022-08-01,2022,172
2022-08-02,2022,176
2022-08-03,2022,190
2022-08-04,2022,200
2022-08-05,2022,211
2022-08-06,2022,205
2022-08-07,2022,189
2022-08-08,2022,178
2022-08-09,2022,174
2022-08-10,2022,174
2022-08-11,2022,195
2022-08-12,2022,192
2022-08-13,2022,183
2022-08-14,2022,170
2022-08-15,2022,143
2022-08-16,2022,134
2022-08-17,2022,123
2022-08-18,2022,131
2022-08-19,2022,141
2022-08-20,2022,141
2022-08-21,2022,158
2022-08-22,2022,196
2022-08-23,2022,203
2022-08-24,2022,166
2022-08-25,2022,148
2022-08-26,2022,157
2022-08-27,2022,185
2022-08-28,2022,198
2022-08-29,2022,183
2022-08-30,2022,191
2022-08-31,2022,218
2022-09-01,2022,219
2022-09-02,2022,214
2022-09-03,2022,217
2022-09-04,2022,252
2022-09-05,2022,253
2022-09-06,2022,223
2022-09-07,2022,209
2022-09-08,2022,215
2022-09-09,2022,212
2022-09-10,2022,212
2022-09-11,2022,226
2022-09-12,2022,256
2022-09-13,2022,256
2022-09-14,2022,232
2022-09-15,2022,213
2022-09-16,2022,177
2022-09-17,2022,146
2022-09-18,2022,151
2022-09-19,2022,169
2022-09-20,2022,217
2022-09-21,2022,257
2022-09-22,2022,263
2022-09-23,2022,273
2022-09-24,2022,256
2022-09-25,2022,223
2022-09-26,2022,198
2022-09-27,2022,188
2022-09-28,2022,221
2022-09-29,2022,232
2022-09-30,2022,209
2023-06-01,2023,185
2023-06-02,2023,159
2023-06-03,2023,159
2023-06-04,2023,191
2023-06-05,2023,229
2023-06-06,2023,235
2023-06-07,2023,215
2023-06-08,2023,206
2023-06-09,2023,228
2023-06-10,2023,234
2023-06-11,2023,216
2023-06-12,2023,213
2023-06-13,2023,217
2023-06-14,2023,216
2023-06-15,2023,243
2023-06-16,2023,262
2023-06-17,2023,252
2023-06-18,2023,233
2023-06-19,2023,215
2023-06-20,2023,216
2023-06-21,2023,227
2023-06-22,2023,218
2023-06-23,2023,198
2023-06-24,2023,190
2023-06-25,2023,176
2023-06-26,2023,190
2023-06-27,2023,191
2023-06-28,2023,187
2023-06-29,2023,208
2023-06-30,2023,201
2023-07-01,2023,178
2023-07-02,2023,174
2023-07-03,2023,188
2023-07-04,2023,200
2023-07-05,2023,203
2023-07-06,2023,222
2023-07-07,2023,220
2023-07-08,2023,198
2023-07-09,2023,202
2023-07-10,2023,210
2023-07-11,2023,223
2023-07-12,2023,243
2023-07-13,2023,225
2023-07-14,2023,175
2023-07-15,2023,170
2023-07-16,2023,184
2023-07-17,2023,193
2023-07-18,2023,185
2023-07-19,2023,193
2023-07-20,2023,200
2023-07-21,2023,206
2023-07-22,2023,224
2023-07-23,2023,229
2023-07-24,2023,220
2023-07-25,2023,203
2023-07-26,2023,236
2023-07-27,2023,233
2023-07-28,2023,220
2023-07-29,2023,199
2023-07-30,2023,172
2023-07-31,2023,193
2023-08-01,2023,200
2023-08-02,2023,208
2023-08-03,2023,212
2023-08-04,2023,218
2023-08-05,2023,201
2023-08-06,2023,169
2023-08-07,2023,189
2023-08-08,2023,213
2023-08-09,2023,197
2023-08-10,2023,180
2023-08-11,2023,140
2023-08-12,2023,124
2023-08-13,2023,124
2023-08-14,2023,118
2023-08-15,2023,155
2023-08-16,2023,176
2023-08-17,2023,168
2023-08-18,2023,154
2023-08-19,2023,166
2023-08-20,2023,191
2023-08-21,2023,186
2023-08-22,2023,156
2023-08-23,2023,149
2023-08-24,2023,163
2023-08-25,2023,145
2023-08-26,2023,157
2023-08-27,2023,168
